mod_reg,mod_num,Depth_fct,cor_mn,cor_sd,bias_mn,bias_sd,per_bias_mn,per_bias_sd,rmse_mn,rmse_sd,mae_mn,mae_sd,mape_mn,mape_sd
AI,5,250,0.5718609460158164,0.19592767243159548,0.03417099229244597,0.20110605869126086,0.0016629271531927088,0.025419678275622196,0.3595587287560451,0.20082679666524966,0.2711449837450317,0.12904936248991958,0.03639973699824273,0.014592905664936004
AI,5,300,0.6342138764069641,0.22070492228692615,-0.02192771581507816,0.07873014337425616,-0.004163582842652282,0.011180468459744419,0.21567353984508897,0.0828844987754752,0.1744155201752971,0.06718449677839128,0.02468548844841498,0.009404374386288814
AI,5,350,0.5184444816687318,0.36495564929825136,-0.028036809200799526,0.11120862575809957,-0.004768382417169817,0.01631941738508186,0.20667993933766868,0.06569853906329962,0.16794164436604742,0.05563042571810328,0.0244184401427451,0.00851584352999822
AI,5,400,0.31346668949455964,0.3548629728611697,-0.015159392597279551,0.16581338039089452,-0.0033317370882408473,0.025436856847369075,0.26291908335284014,0.11778151010741028,0.2022277365506112,0.06809842495626216,0.030212719566590055,0.011252869586588837
AI,5,500,0.21617481838163144,0.6736679998161627,0.0028428872470079025,0.17243838487457996,7.204809425432918e-4,0.025805963149359255,0.18457717360953482,0.09112532586685332,0.15845636334893032,0.08433800794502919,0.02358949700352553,0.012805588167421268
AI,5,600+,0.658731486404001,0.23029533600358215,-0.015621982001671324,0.201411522850767,-0.0027312019597996147,0.032100731912905765,0.1998366515301302,0.08551836834017308,0.18501498936237726,0.07986872847910467,0.02935317563745081,0.012944278508524185
AI,6,<50,0.42816467667396696,0.5673046225837919,0.044879462699245566,0.5394750584475364,0.0013177761401527435,0.06615739799488338,0.669143463052634,0.2710443772160162,0.5787636978166533,0.24821836602143235,0.06973915085621935,0.031043822797918005
AI,6,50,0.226999571162601,0.7619740512916261,0.0014274497623997357,0.3091537118844602,-0.00563171321029033,0.037551675781912194,0.6904535199249285,0.2252627435239964,0.5671867942118486,0.17558969596418927,0.06865502643579131,0.01891687558913156
AI,6,60,0.5969437168363422,0.21954247288765694,0.022104552777481936,0.23150109229775717,-0.00271464106603333,0.02829177184821838,0.6236047524757249,0.1585787444450453,0.4949383452798186,0.13039523604689449,0.06032899168288819,0.016033390316757552
AI,6,70,0.6171832027606439,0.19055952706600346,-0.04668902299354992,0.16971751664355397,-0.009627970197967045,0.0223562653328183,0.5432190007968604,0.14612099660462596,0.4391826335026386,0.13454359517157116,0.05468025726936377,0.01720638649142783
AI,6,80,0.5351193687233524,0.13111502833095912,-0.04140102060526742,0.22138422502873858,-0.009768024119117815,0.028434962618301803,0.5775450143751276,0.09976285082456911,0.4759506782817639,0.0707186865656808,0.06066986125533905,0.009982835887512701
AI,6,90,0.346439305044033,0.5009312530433453,0.020988592886073715,0.20718532018563932,-0.0014086460067272322,0.026042736226055966,0.5593993787059426,0.19344998880999462,0.4554379565168806,0.1517419225767663,0.05751783244287715,0.019131638723556242
AI,6,100,0.45084283897484745,0.17499900027786894,0.08724135371770934,0.18279938313164998,0.007403307688801486,0.024122145119971555,0.5884092107152534,0.11081460770496772,0.46746491460050615,0.09448771905421026,0.06054259429270182,0.012119416671961288
AI,6,125,0.4918797087321132,0.22741190712418224,0.017507090247311348,0.15499985594217913,-0.0011910882410856296,0.02061164198695301,0.5131416539979582,0.10470485968236361,0.41097118392554916,0.09054821148632917,0.054919268364640624,0.009945321478575476
AI,6,150,0.4390181029590473,0.2576122659552359,0.032170860901484674,0.14987517494042116,0.0020026958207461803,0.02065879534410555,0.4699310040244652,0.08041320273486452,0.37962583074785333,0.065074787996503,0.05162423618892524,0.00825677888802313
AI,6,200,0.40170874319355143,0.23656048403438473,0.035225433770337114,0.14888589824267018,0.002682320869184513,0.021115307914969877,0.46884544676087936,0.062365112530661716,0.3776579063238219,0.05447720394450117,0.05177452396553319,0.007097197522569687
AI,6,250,0.26605872909078226,0.4116595308838388,0.04237781807263195,0.217939770675844,0.0024207594286593595,0.02726127578224579,0.39616694179387113,0.22200163231849152,0.3004146345042598,0.14139778875086984,0.040317723812500345,0.015856827507099318
AI,6,300,0.47096075591597997,0.36175472066869246,-0.009578868669402382,0.08900197339005277,-0.002638325242741651,0.013096373785008037,0.24474419859704508,0.06782198658335493,0.20226666343054645,0.05704762568367888,0.028693189031572558,0.00829166020057863
AI,6,350,0.4775744573826365,0.3250487416868067,-0.0325994279882792,0.11519859760512459,-0.005526358368412554,0.016803950191877515,0.20915657281641575,0.05782327928717605,0.167314733019053,0.04708926448979679,0.024332962067971465,0.007233034907705452
AI,6,400,0.26994552887813145,0.29230358119227023,-0.01771338174238883,0.16873140379664245,-0.0037927721431330014,0.025798344033828812,0.2631947726471256,0.10769023715174401,0.20692949333932142,0.06637081323556923,0.03086611321680889,0.011009463050296663
AI,6,500,0.23244696784262897,0.6432777910778718,0.017808081559137295,0.17532470473825432,0.0028552880731771537,0.026200773404695826,0.1819197962565754,0.08865295061003631,0.16147366517168676,0.08112605293475975,0.024031106658295144,0.01230323730915293
AI,6,600+,0.715489746466301,0.18637662078712394,0.022434236390243664,0.18125627317282036,0.003191824455345094,0.028738480906420436,0.17283008847077586,0.10343382415482455,0.1572916201096395,0.09853710840765977,0.024913331664673577,0.015507967092669
AI,7,<50,0.715351400402581,0.24560994229543337,-0.030425665813744743,0.30313705649389666,-0.006879111032862689,0.03464080924293676,0.4598504533520708,0.18431146668339213,0.3781681207166472,0.1526913812201631,0.04474508688009597,0.016641608838622573
AI,7,50,0.7620087935985265,0.22386002833407034,-0.03608265841480015,0.19145956961305624,-0.008181086389485146,0.02341549416374522,0.4732389036618948,0.21794609344716417,0.3879820762253903,0.16646252533971237,0.04639201724216985,0.018588238679342797
AI,7,60,0.7852470265784142,0.12937615736095864,0.027226609790402395,0.15213662535617636,-4.844251089761016e-4,0.018196844094272666,0.47367970612796817,0.16373669680228578,0.3711760290397682,0.12131732987581348,0.045094878855201054,0.014175064225086098
AI,7,70,0.8019532181620234,0.0804748576696266,-0.0437766793431511,0.13816624422241006,-0.00814511694221487,0.016583324541881293,0.4166225171774867,0.10722209964297154,0.34198280747599247,0.08259530681685372,0.04215633274912942,0.010259161326188784
