mod_reg,mod_num,Depth_fct,cor_mn,cor_sd,bias_mn,bias_sd,per_bias_mn,per_bias_sd,rmse_mn,rmse_sd,mae_mn,mae_sd,mape_mn,mape_sd
AI,7,125,0.6798962823552712,0.08187818351181796,0.003243523235381366,0.14309917540014297,-0.002588626592671836,0.020023297308776854,0.4401247166768523,0.07487335553724662,0.336990167406927,0.05202064565951854,0.045772736313993534,0.008995407844194558
AI,7,150,0.6579412615085402,0.0805828436207479,0.005429744626540456,0.14288025430522178,-0.0020192776990034136,0.01997642814965177,0.4359660592145456,0.060858995275101774,0.3375687052124308,0.03891692991906934,0.04605714981600298,0.0071706000186834516
AI,7,200,0.6179285368238701,0.08885018361453802,0.006468801205076902,0.11573131843546682,-0.0013061934733729272,0.015757283806815434,0.42390445147617234,0.05836842557341493,0.33567851405040433,0.04170941615977491,0.04574126956488091,0.005046313361887615
AI,7,250,0.6755968987175753,0.1894090288843823,0.02817076504936642,0.1190683329940331,0.0016595583776861178,0.016530590963412386,0.3239495484472143,0.06583111264944215,0.25414461180259273,0.05168033761714407,0.03492054819587763,0.006802511396068136
AI,7,300,0.6456539798742018,0.1648245081074289,0.0016352419907890645,0.07574218991784883,-9.763943648175167e-4,0.010458296718378812,0.24787282861152338,0.06289888788959284,0.19401855084097053,0.051050686127225166,0.02713488469146626,0.0067125167518875565
AI,7,350,0.5727381100663631,0.12294832930913044,0.023993751468716254,0.06482778252956806,0.0027036020828824663,0.009196420045344938,0.20947052044694758,0.05174247009430874,0.1660838216071949,0.03615628198235573,0.02350027032712332,0.0048048566181297225
AI,7,400,0.5093154441636543,0.12264418941590516,0.003604100922463958,0.056415263946347285,1.1662865795220609e-4,0.00808670919019627,0.1930976965850927,0.025277841556206476,0.15370436753737765,0.025264247050737064,0.022083070285486388,0.0033729357687000477
AI,7,500,0.5359635408905643,0.44758883902086716,-0.0375048779203834,0.10538916042490583,-0.005707342873800744,0.015678782176862655,0.1401525754493521,0.05754701299366309,0.1202578264288209,0.05039294298170307,0.0177208937474202,0.0077478027908338635
AI,7,600+,0.8558803517384027,0.12687551483125395,-0.06842443700606012,0.13877401546104154,-0.010674174333409926,0.02149546523737101,0.16392496039689422,0.07827925769199265,0.14913124685450563,0.08346975824377167,0.02320818657383021,0.013109320970279888
AI,7,NA,0.7525482058156767,0.05547392873129519,-0.03639955273117742,0.3027746859588493,-0.010473514707610994,0.03398625509838892,0.705878351678844,0.12107278508300494,0.5362778669518532,0.09641551126021639,0.06169889958218689,0.00986251806752447
