mod_reg,mod_num,cor_mn,cor_sd,bias_mn,bias_sd,per_bias_mn,per_bias_sd,rmse_mn,rmse_sd,mae_mn,mae_sd,mape_mn,mape_sd,dev_expl_mn,dev_expl_sd
EBS,0,0.7604369972912038,0.04924676496888507,-0.29615007475020544,0.24564519177340935,-0.14753637104194514,0.11159130761101212,1.5334857926323262,0.32156395445604163,1.0781770602926282,0.26053122543677437,0.25421789758165325,0.11563384020309442,NA,NA
EBS,1,0.7615308340345143,0.05212160544786717,-0.014129581990409444,0.29064065700431607,-0.10942463056896369,0.11636738016536168,1.4833014215478415,0.2977506095672047,1.069576311972044,0.23960896920760985,0.24623948114843103,0.11159571073098701,5.317565458225922,0.3050686133637871
EBS,2,0.7985146132951445,0.041634370605154396,-0.07795172644039876,0.13561131100490217,-0.0959487692149481,0.061914929464224146,1.3558000671986972,0.2528922602846559,0.9943703703040746,0.21181879717393134,0.21604289656086223,0.08225401899506476,29.09189919596708,0.6025852376211831
EBS,3,0.8188219483652038,0.02674964475979263,-0.016566757481610805,0.2935066399125054,-0.08945229065566133,0.10868058789481415,1.3305117017578663,0.20823878777572793,0.9688745776804982,0.1605828995912874,0.2187769693103692,0.08802624123775148,26.214700161401296,0.8062653957467505
EBS,4,0.7626943641563664,0.049084938588386626,-0.020925369742290065,0.25715508271348697,-0.10729653077021858,0.10424411493597985,1.4759064737827428,0.2833867642969024,1.0679777632632672,0.22686905879134736,0.24232352331928184,0.10504660627912689,7.764450841426848,0.33684238421291285
EBS,5,0.8727476343696693,0.025101398884743664,-0.0733881612218402,0.10304468005796932,-0.06560357506664262,0.04748377936517925,1.0990300212359594,0.15816858690729294,0.8136828020697067,0.1268275863693431,0.16627332769909423,0.05236890964744686,55.27797389959116,0.8812796065234444
EBS,6,0.8012701789152369,0.04129292197483111,-0.09563162063876288,0.1388776149561738,-0.09762365978313418,0.061783248773117985,1.3490819152088933,0.24789874049604238,0.99048847756243,0.20624102476324688,0.21509357773425503,0.08146541526115657,30.27709022480394,0.6451938205519483
EBS,7,0.8190291781516327,0.02653299217663996,-0.024066645601121928,0.2572755044046858,-0.08754539076604266,0.09506497185760998,1.3238928802391914,0.19567453597458281,0.9672859709158739,0.14917799473892188,0.21370879862576256,0.0812698862789515,28.18618377200388,0.9882597573858753
EBS,8,0.8766964190452355,0.023596805754704183,-0.07689318643746326,0.10055417013499805,-0.06506282328398014,0.0462898229097591,1.085513407192796,0.1506413875837852,0.8028776135172293,0.11939666392031205,0.16388669659445879,0.051081514452980405,56.50960715040291,0.8497626967210169
AI,0,0.6936791014141062,0.10170769269794928,-0.03421772293574446,0.17030838903163897,-0.006239266995476239,0.02154795687225923,0.854883421854474,0.1163118766928546,0.6504587293953834,0.10768369998743985,0.07976909921353798,0.013529344114457026,NA,NA
AI,1,0.7023846112749503,0.09424124254355624,-0.012928459697066639,0.20931692371868213,-0.008234936116471624,0.024516882425061726,0.6957061061174606,0.09254982272097034,0.5328028622476633,0.06973151661472445,0.06506283784463998,0.008045893634161905,35.33656740214494,1.6185789753404796
AI,2,0.5514131853610824,0.15801228135932563,-0.010097289807649424,0.4301164074375521,-0.007168273518081372,0.05417780139910564,1.0275882191710415,0.4255744042656303,0.7291814396721814,0.24168220949981295,0.08981509544435029,0.03078718954615564,46.21730027265473,1.2661962344188926
AI,3,0.7928970857278285,0.05582516012445361,-0.009966327363164617,0.18508379580126946,-0.006073087454155265,0.02139018274425956,0.6024421784161559,0.10584489639084642,0.4462952074132746,0.07748318576346189,0.05411656422713686,0.008449795138165008,51.957898686057646,1.7966063467428053
AI,4,0.7077587843853996,0.08707233047051421,-0.008177596088247065,0.18869678954060976,-0.007451479409414957,0.021952112370063795,0.6893154088237091,0.08206065914202275,0.5251745952948463,0.06222278775179015,0.06403385031225904,0.007286001734878268,37.844292180404345,1.4020608808987176
AI,5,0.664276044259831,0.11592794940051132,0.04690090414799982,0.3619885554752142,0.0015271897311198547,0.04534384902083533,0.8683126629077821,0.285329475361095,0.6269684523343516,0.15735572573119314,0.07694506140845986,0.020248448270016005,60.44785415256529,1.3383996234190665
AI,6,0.5632050865369977,0.1894815549306617,-0.03660666114928095,0.4429278178757388,-0.010257743239612843,0.05632040539219264,1.0591985361121978,0.5010777852296767,0.7254442163204542,0.25185606346864564,0.08954352805886787,0.03306256252713985,49.242692670656254,1.2096358594426786
AI,7,0.8053044740966688,0.04510129128533664,-0.01268572290330071,0.16113050049927685,-0.006094663927427445,0.018460741347416022,0.5870204419798917,0.09503311196347261,0.4338379382881984,0.06842058826151394,0.05265034402873791,0.007350692258713306,55.238420826351764,1.545015004527372
AI,8,0.6695358652683318,0.14993777282061563,0.06850959733252514,0.3461558906055392,0.004554181675475062,0.04386387878692197,0.9026609256215705,0.35727115960734246,0.6092166698777218,0.14825686833870708,0.0748912224962405,0.019686956705700996,63.80024894313309,1.3978418746507777
GOA,0,0.8477650086102315,0.02959103490212132,-0.23949510706717747,0.181151809762254,-0.026462287011154197,0.01769104205062297,1.073002345580228,0.15027566337416162,0.7902674326557363,0.1033331097916339,0.07851340636547158,0.010328035177864566,NA,NA
GOA,1,0.8552294662670492,0.026521720224513243,-0.004269171529778038,0.145025738931619,-0.008418755007673064,0.014567375513146524,0.931303339117655,0.07198381520612115,0.6945484314751935,0.051322533290568635,0.06897146939811627,0.006137080331725436,22.835212563724877,1.1122678688576337
GOA,2,0.8178585523010412,0.05229812809637911,-0.01131677932923038,0.26434326123829743,-0.008371163587061229,0.026644941537621213,1.0645684059892861,0.16071398996812883,0.8019803756911644,0.11328251211906916,0.07993849916975046,0.01004304863801794,35.941498532878526,1.1281435317706359
GOA,3,0.8738878488616042,0.023301795250280206,-0.004173693465574148,0.1515979869727311,-0.0073169850876679526,0.015057190221222011,0.8758279996417802,0.06933834886157166,0.6473741782633421,0.04978498911949113,0.06383811232968001,0.00574811313397592,32.504588455063654,1.0229238191309815
GOA,4,0.8582822266590312,0.02368183120933682,-0.005323652374418368,0.13716664243346008,-0.008322705471760405,0.013773868965629434,0.9218737970476251,0.06568707097960882,0.6902100841833084,0.04525386611303508,0.06857645676229006,0.005639821004465731,24.836410268257403,1.182100791048991
GOA,5,0.8401676133712752,0.06767805599415012,-0.0021370802069339712,0.2386700154105302,-0.00626534579911206,0.02412272435781643,0.994329574150551,0.19050838128736305,0.7444916234532827,0.14970240933531268,0.073510518893738,0.01281098500001872,47.62922766643737,0.9430900566187967
GOA,6,0.8235988463234714,0.04836021856520665,-0.034244208621405134,0.24691959230944144,-0.010703728767686133,0.024990093433454253,1.0448628076959294,0.1474140566368248,0.7910170613593557,0.1028716983578164,0.07906247336779854,0.009501387290257284,36.94538936999977,1.1320363569058742
GOA,7,0.8806954534020929,0.017835319448259924,-0.00451222000631341,0.1494346669136443,-0.006941885227369255,0.01476740164372777,0.8555502171204015,0.06666112048769811,0.6349254112466225,0.04630462838336152,0.06255176608054817,0.005148238848839097,35.972840458649294,1.0215838435465172
GOA,8,0.8516617719900952,0.057707778307409134,-0.030192411206696655,0.2141331487783963,-0.008973749638317572,0.02204442254190018,0.9537332698769059,0.16135656312563318,0.7154980751758564,0.12625129609446767,0.07084602878827395,0.011072678917999762,50.03393840893581,0.9366724233475947
